scenario,seed,method,level,nu_low,nu_high,n,mae,rmse,bias,corr
physical_fixed,11,mean_var,fixed,0.8,0.9,1,0.1962452530860901,0.1962452530860901,-0.1962452530860901,
physical_fixed,11,expanded_stats,fixed,0.0,0.1,3817,0.08756815862395641,0.09872180951709962,0.08750484313719212,0.022133004827139615
physical_fixed,11,expanded_stats,fixed,0.1,0.2,3048,0.03769588037797316,0.050145864714864215,0.002566845618247047,0.09799742343970083
physical_fixed,11,expanded_stats,fixed,0.2,0.3,1702,0.08488638789669888,0.09483807207668803,-0.07587935399487351,0.17397595558089665
physical_fixed,11,expanded_stats,fixed,0.3,0.4,826,0.14536904978405765,0.15737941070359984,-0.13925042798963644,0.21180595527783225
physical_fixed,11,expanded_stats,fixed,0.4,0.5,384,0.1763439093871663,0.19489626772769386,-0.1710279482261588,0.313872455508079
physical_fixed,11,expanded_stats,fixed,0.5,0.6,169,0.19276454921304825,0.21734025626551012,-0.18919658696157693,0.19691887167493055
physical_fixed,11,expanded_stats,fixed,0.6,0.7,45,0.16260545717345345,0.20306446022645377,-0.14510539041625128,0.3375497420322098
physical_fixed,11,expanded_stats,fixed,0.7,0.8,8,0.15198243036866188,0.17531116497210414,-0.1298537589609623,-0.03993764259695455
physical_fixed,11,expanded_stats,fixed,0.8,0.9,1,0.03820997476577759,0.03820997476577759,-0.03820997476577759,
physical_fixed,22,moments,fixed,0.0,0.1,3905,0.3245069205744857,0.4080204466733122,0.2816990770959437,-0.010807277292550831
physical_fixed,22,moments,fixed,0.1,0.2,2810,0.303597423853187,0.34729557251036125,0.18005048163845022,0.012845105032789142
physical_fixed,22,moments,fixed,0.2,0.3,1771,0.29914531134434974,0.3177751535428807,0.08847944507452137,-0.01203576741139672
physical_fixed,22,moments,fixed,0.3,0.4,917,0.29941705899514187,0.3158045219018443,0.02162234389274955,0.06939691313954095
physical_fixed,22,moments,fixed,0.4,0.5,389,0.2834906732055399,0.31517848775708235,-0.014689202403654475,0.08157924583917561
physical_fixed,22,moments,fixed,0.5,0.6,159,0.26149931512538743,0.3219721426551183,-0.05779608559308562,0.017347469276688753
physical_fixed,22,moments,fixed,0.6,0.7,36,0.23488487386041215,0.3171348476370839,-0.05966755996147791,0.09394873083062776
physical_fixed,22,moments,fixed,0.7,0.8,12,0.15026536087195078,0.23395906224578833,-0.009141032894452412,0.49497928670722924
physical_fixed,22,moments,fixed,0.8,0.9,1,0.04604613780975342,0.04604613780975342,-0.04604613780975342,
physical_fixed,22,moments_clipped,fixed,0.0,0.1,3905,0.3245069205744857,0.4080204466733122,0.2816990770959437,-0.010807277292550831
physical_fixed,22,moments_clipped,fixed,0.1,0.2,2810,0.303597423853187,0.34729557251036125,0.18005048163845022,0.012845105032789142
physical_fixed,22,moments_clipped,fixed,0.2,0.3,1771,0.29914531134434974,0.3177751535428807,0.08847944507452137,-0.01203576741139672
physical_fixed,22,moments_clipped,fixed,0.3,0.4,917,0.29941705899514187,0.3158045219018443,0.02162234389274955,0.06939691313954095
physical_fixed,22,moments_clipped,fixed,0.4,0.5,389,0.2834906732055399,0.31517848775708235,-0.014689202403654475,0.08157924583917561
physical_fixed,22,moments_clipped,fixed,0.5,0.6,159,0.26149931512538743,0.3219721426551183,-0.05779608559308562,0.017347469276688753
physical_fixed,22,moments_clipped,fixed,0.6,0.7,36,0.23488487386041215,0.3171348476370839,-0.05966755996147791,0.09394873083062776
physical_fixed,22,moments_clipped,fixed,0.7,0.8,12,0.15026536087195078,0.23395906224578833,-0.009141032894452412,0.49497928670722924
physical_fixed,22,moments_clipped,fixed,0.8,0.9,1,0.04604613780975342,0.04604613780975342,-0.04604613780975342,
physical_fixed,22,known_sigma,fixed,0.0,0.1,3905,0.12460274720605027,0.1639950739145319,0.07312146203184593,0.0477674994129906
physical_fixed,22,known_sigma,fixed,0.1,0.2,2810,0.13599284742411982,0.15382740039258716,0.007954781188288193,0.09277632695625332
physical_fixed,22,known_sigma,fixed,0.2,0.3,1771,0.14084737757163018,0.16684458539023855,-0.026984353339954796,0.16705049607806663
physical_fixed,22,known_sigma,fixed,0.3,0.4,917,0.13003805671354418,0.16544025333862014,-0.029011370425265904,0.1816094175792162
physical_fixed,22,known_sigma,fixed,0.4,0.5,389,0.09724276916993001,0.1351596576257181,-0.025198031781878138,0.17522568943837824
physical_fixed,22,known_sigma,fixed,0.5,0.6,159,0.0854352022866783,0.10774553647747959,-0.002358504811172965,0.07661366032458282
physical_fixed,22,known_sigma,fixed,0.6,0.7,36,0.07320352395375569,0.09602907832391583,-0.0021422836515638563,0.20593120013065475
physical_fixed,22,known_sigma,fixed,0.7,0.8,12,0.06349331140518188,0.07274183193004274,0.03448706865310669,0.3856009732860752
physical_fixed,22,known_sigma,fixed,0.8,0.9,1,0.02023392915725708,0.02023392915725708,0.02023392915725708,
physical_fixed,22,prior_mean,fixed,0.0,0.1,3905,0.1132469039396043,0.11623044522146204,0.1132469039396043,
physical_fixed,22,prior_mean,fixed,0.1,0.2,2810,0.02966534002979031,0.03512876369708657,0.020208361180121367,
physical_fixed,22,prior_mean,fixed,0.2,0.3,1771,0.07960684730433125,0.08463605994519036,-0.07960684730433125,
physical_fixed,22,prior_mean,fixed,0.3,0.4,917,0.17874402734029515,0.18102640780032014,-0.17874402734029515,
physical_fixed,22,prior_mean,fixed,0.4,0.5,389,0.2771597424938623,0.2786011090530473,-0.2771597424938623,
physical_fixed,22,prior_mean,fixed,0.5,0.6,159,0.37782010773442826,0.3787103086073142,-0.37782010773442826,
physical_fixed,22,prior_mean,fixed,0.6,0.7,36,0.4760389584634039,0.47694369537610837,-0.4760389584634039,
physical_fixed,22,prior_mean,fixed,0.7,0.8,12,0.5741857389609019,0.5745931281623976,-0.5741857389609019,
physical_fixed,22,prior_mean,fixed,0.8,0.9,1,0.7059625387191772,0.7059625387191772,-0.7059625387191772,
physical_fixed,22,prior_median,fixed,0.0,0.1,3905,0.08286827915227672,0.08690113251625034,0.08286827915227672,
physical_fixed,22,prior_median,fixed,0.1,0.2,2810,0.02538664360858792,0.030480919266544743,-0.010170263616746007,
physical_fixed,22,prior_median,fixed,0.2,0.3,1771,0.10998547210119862,0.1136785669272545,-0.10998547210119862,
physical_fixed,22,prior_median,fixed,0.3,0.4,917,0.2091226521534124,0.21107680274533705,-0.2091226521534124,
physical_fixed,22,prior_median,fixed,0.4,0.5,389,0.30753836717581073,0.3088379872250873,-0.30753836717581073,
physical_fixed,22,prior_median,fixed,0.5,0.6,159,0.40819871763013443,0.40902280756930703,-0.40819871763013443,
physical_fixed,22,prior_median,fixed,0.6,0.7,36,0.5064175642198986,0.5072681220324824,-0.5064175642198986,
physical_fixed,22,prior_median,fixed,0.7,0.8,12,0.604564348856608,0.6049512805450092,-0.604564348856608,
physical_fixed,22,prior_median,fixed,0.8,0.9,1,0.7363411784172058,0.7363411784172058,-0.7363411784172058,
physical_fixed,22,raw,fixed,0.0,0.1,3905,0.09703557289249612,0.10717584060577334,0.09699772139784621,0.04026555880788046
physical_fixed,22,raw,fixed,0.1,0.2,2810,0.03817070394330178,0.04896379674778097,0.010915916049819825,0.0951281523550175
physical_fixed,22,raw,fixed,0.2,0.3,1771,0.07651270326081808,0.08730238471554921,-0.0705322955100298,0.148494794231796
physical_fixed,22,raw,fixed,0.3,0.4,917,0.13975170383081573,0.1507848077183491,-0.13896897394563537,0.21580643711496011
physical_fixed,22,raw,fixed,0.4,0.5,389,0.19888738353178861,0.20819278304912595,-0.19677052273388693,0.1689575624188894
physical_fixed,22,raw,fixed,0.5,0.6,159,0.22169291167139257,0.2381460076765753,-0.22081176008818285,0.1193485885217068
physical_fixed,22,raw,fixed,0.6,0.7,36,0.2333216948641671,0.25159550313726675,-0.22715977331002551,0.16296564818336673
physical_fixed,22,raw,fixed,0.7,0.8,12,0.13538755476474762,0.15900171850195352,-0.13538755476474762,0.5180060903721695
physical_fixed,22,raw,fixed,0.8,0.9,1,0.10567045211791992,0.10567045211791992,-0.10567045211791992,
physical_fixed,22,mean_var,fixed,0.0,0.1,3905,0.08999386000495865,0.10084769944532897,0.08998772037166639,0.04462977969255192
physical_fixed,22,mean_var,fixed,0.1,0.2,2810,0.036799587280194536,0.04975805663132665,0.004265138854229578,0.09150565701267813
physical_fixed,22,mean_var,fixed,0.2,0.3,1771,0.08581760082286606,0.09592923641470771,-0.07444057961529355,0.1568372918268958
physical_fixed,22,mean_var,fixed,0.3,0.4,917,0.14016193063724522,0.1544843122896221,-0.13274376801212065,0.20837179831246797
physical_fixed,22,mean_var,fixed,0.4,0.5,389,0.18107012213042584,0.19871833290867408,-0.17406604115331692,0.16606770398491372
physical_fixed,22,mean_var,fixed,0.5,0.6,159,0.16936374572837878,0.20057823959915452,-0.15987098779318468,0.10918664298762544
physical_fixed,22,mean_var,fixed,0.6,0.7,36,0.16113460974560842,0.1895150171702069,-0.1366587107380231,0.18093100249040678
physical_fixed,22,mean_var,fixed,0.7,0.8,12,0.09463290373484293,0.10842913190029461,-0.032076408465703324,0.4199852133354855
physical_fixed,22,mean_var,fixed,0.8,0.9,1,0.0586698055267334,0.0586698055267334,0.0586698055267334,
physical_fixed,22,expanded_stats,fixed,0.0,0.1,3905,0.0890217381740578,0.10082908804299937,0.08891476377959287,0.04792292113502712
physical_fixed,22,expanded_stats,fixed,0.1,0.2,2810,0.038456484516320284,0.05096336403314304,0.003902393165856494,0.09338716838993695
physical_fixed,22,expanded_stats,fixed,0.2,0.3,1771,0.0849468609005768,0.09553888382140625,-0.07448412092609771,0.15959969272198865
physical_fixed,22,expanded_stats,fixed,0.3,0.4,917,0.13927481642791203,0.15341140009770365,-0.1329103127333174,0.216125848639749
