scenario,seed,method,level,n,mae,rmse,bias,corr,median_effective_snr_db
physical_snr,22,raw,0.0,10000,0.16428195808945456,0.20912909528592039,-0.16077489601963899,-0.38211845785704396,-10.435321807861328
physical_snr,22,raw,5.0,10000,0.16358762657798362,0.20879863442074,-0.15494049283561764,-0.48085906645594945,-5.43532133102417
physical_snr,22,raw,10.0,10000,0.16233660482163542,0.20817244020882986,-0.14729725268078037,-0.5802795532746261,-0.4353213310241699
physical_snr,22,mean_var,-10.0,10000,0.1060188776563853,0.12395259818339018,0.06678597183041275,0.6055307645876988,-20.435321807861328
physical_snr,22,mean_var,-5.0,10000,0.0853138672715053,0.10803745901088489,0.025637190551124515,0.5905400678309899,-15.435321807861328
physical_snr,22,mean_var,0.0,10000,0.07084674941627309,0.10044197253463556,-0.010110871167574078,0.6427558557207619,-10.435321807861328
physical_snr,22,mean_var,5.0,10000,0.05757751282667741,0.08267005974619725,-0.033672396057564766,0.839352795594999,-5.43532133102417
physical_snr,22,mean_var,10.0,10000,0.045883088248968126,0.05703496731356522,-0.03182984349876642,0.9345458170175192,-0.4353213310241699
physical_snr,22,expanded_stats,-10.0,10000,0.10886892752274871,0.12717351487906378,0.07336128215417266,0.5998514621994137,-20.435321807861328
physical_snr,22,expanded_stats,-5.0,10000,0.08438534036912024,0.10723410636862725,0.029079011723771694,0.6031991140361673,-15.435321807861328
physical_snr,22,expanded_stats,0.0,10000,0.06984569557411596,0.09906641426484437,-0.010680770914349706,0.6552245045300098,-10.435321807861328
physical_snr,22,expanded_stats,5.0,10000,0.05722669596951455,0.08154257003322356,-0.0338365228606388,0.8408271249877067,-5.43532133102417
physical_snr,22,expanded_stats,10.0,10000,0.037790725391916934,0.048683890771925586,-0.026456302359141412,0.9480271057292997,-0.4353213310241699
physical_snr,22,deepsets,-10.0,10000,0.10810034461971373,0.12552003462175454,0.07123461640831083,0.619138870964446,-20.435321807861328
physical_snr,22,deepsets,-5.0,10000,0.0883508708178997,0.11090211724015168,0.02806207817718387,0.5613752978746198,-15.435321807861328
physical_snr,22,deepsets,0.0,10000,0.07003243647692725,0.09970990686906853,-0.004023401618469507,0.6442713432809829,-10.435321807861328
physical_snr,22,deepsets,5.0,10000,0.06347437552595511,0.09239637826970451,-0.04016305731451139,0.8268004987740495,-5.43532133102417
physical_snr,22,deepsets,10.0,10000,0.06707681676549837,0.08747547785109029,-0.061613807635847485,0.9527927549833353,-0.4353213310241699
physical_snr,33,moments,-10.0,10000,0.5257526738280722,0.7109296236211494,0.3873616824714176,0.3106871891355316,-20.43405532836914
