scenario,seed,method,step,examples,compute_seconds,data_seconds,train_seconds,train_mse,validation_rmse,best_validation_rmse
physical_fixed,11,mean_var,1900,972800,1.6083601182326674,0.8928482508054003,2.5012083690380678,0.010978162074461579,0.10471766763352798,0.10469006701457965
physical_fixed,11,mean_var,2000,1024000,1.6926978619303554,0.9398161048302427,2.632513966760598,0.011032717917114496,0.104764203150135,0.10469006701457965
physical_fixed,11,mean_var,2100,1075200,1.777092307806015,0.9867947014281526,2.7638870092341676,0.010804792353883385,0.10468100484974739,0.10468100484974739
physical_fixed,11,mean_var,2200,1126400,1.861787267611362,1.033572273212485,2.895359540823847,0.011013022633269429,0.1046917825767849,0.10468100484974739
physical_fixed,11,mean_var,2300,1177600,1.9462694653775543,1.0805187558289617,3.026788221206516,0.01090873527340591,0.10501756128827106,0.10468100484974739
physical_fixed,11,mean_var,2400,1228800,2.0311397432815284,1.127310732146725,3.1584504754282534,0.01088020377792418,0.10490155488758869,0.10468100484974739
physical_fixed,11,mean_var,2500,1280000,2.1156477642944083,1.1743113689590245,3.289959133253433,0.010805732170119882,0.10478973391676184,0.10468100484974739
physical_fixed,11,mean_var,2600,1331200,2.2000516324769706,1.2213537479983643,3.421405380475335,0.010963752977550029,0.10470850224690699,0.10468100484974739
physical_fixed,11,mean_var,2700,1382400,2.2844041892094538,1.2683129615616053,3.552717150771059,0.010784354489296676,0.10473311030242428,0.10468100484974739
physical_fixed,11,mean_var,2800,1433600,2.368808816303499,1.3152939275605604,3.6841027438640594,0.011065131640061737,0.1046691932012271,0.1046691932012271
physical_fixed,11,mean_var,2900,1484800,2.453588585020043,1.3622200605459511,3.815808645565994,0.010843746988102794,0.10534634646251105,0.1046691932012271
physical_fixed,11,mean_var,3000,1536000,2.5399798976723105,1.4100627092411742,3.9500426069134846,0.01081043716520071,0.10487682091785411,0.1046691932012271
physical_fixed,11,expanded_stats,0,0,0.0,0.0,0.0,,0.44042837905049326,0.44042837905049326
physical_fixed,11,expanded_stats,100,51200,0.10069764929357916,0.047107555670663714,0.14780520496424288,0.03372904596850276,0.13049442739708375,0.13049442739708375
physical_fixed,11,expanded_stats,200,102400,0.20089138904586434,0.09416997723747045,0.2950613662833348,0.01705361284315586,0.12801389171183464,0.12801389171183464
physical_fixed,11,expanded_stats,300,153600,0.3017069111810997,0.1410537576302886,0.4427606688113883,0.01630293296650052,0.12247844355811882,0.12247844355811882
physical_fixed,11,expanded_stats,400,204800,0.40264900133479387,0.18804824200924486,0.5906972433440387,0.01355034033767879,0.10769395710188381,0.10769395710188381
physical_fixed,11,expanded_stats,500,256000,0.5032854560995474,0.2350227035349235,0.7383081596344709,0.011160584641620517,0.10531153510580675,0.10531153510580675
physical_fixed,11,expanded_stats,600,307200,0.6032919170102105,0.2821134952828288,0.8854054122930393,0.010930681452155113,0.10513953305332063,0.10513953305332063
physical_fixed,11,expanded_stats,700,358400,0.7035852522822097,0.3291205591522157,1.0327058114344254,0.011094379182904958,0.10499718559395742,0.10499718559395742
physical_fixed,11,expanded_stats,800,409600,0.8038241472095251,0.37618294497951865,1.1800070921890438,0.011052337493747472,0.10536789455818611,0.10499718559395742
physical_fixed,11,expanded_stats,900,460800,0.9043446012074128,0.4233384053222835,1.3276830065296963,0.011161568285897374,0.10489967784508994,0.10489967784508994
physical_fixed,11,expanded_stats,1000,512000,1.004732506815344,0.4702935710083693,1.4750260778237134,0.01083344048820436,0.10513186708494465,0.10489967784508994
physical_fixed,11,expanded_stats,1100,563200,1.1052955072373152,0.5172944024670869,1.622589909704402,0.010811017993837595,0.10489794474194424,0.10489794474194424
physical_fixed,11,expanded_stats,1200,614400,1.2058944053715095,0.5644074680749327,1.7703018734464422,0.010989770609885454,0.10636433094384741,0.10489794474194424
physical_fixed,11,expanded_stats,1300,665600,1.306489113601856,0.611521766637452,1.9180108802393079,0.010984606938436628,0.10479938004479372,0.10479938004479372
physical_fixed,11,expanded_stats,1400,716800,1.4070568270981312,0.6585556644713506,2.065612491569482,0.010991805801168084,0.1053847974714659,0.10479938004479372
physical_fixed,11,expanded_stats,1500,768000,1.5070109233492985,0.7056385601172224,2.212649483466521,0.01099337799474597,0.10473656537429034,0.10473656537429034
physical_fixed,11,expanded_stats,1600,819200,1.6066308541921899,0.7525959679624066,2.3592268221545964,0.011032075043767691,0.10528422379037179,0.10473656537429034
physical_fixed,11,expanded_stats,1700,870400,1.7071349484613165,0.7995159131241962,2.5066508615855128,0.010943486196920276,0.10476883605758099,0.10473656537429034
physical_fixed,11,expanded_stats,1800,921600,1.8070818884298205,0.846486818161793,2.6535687065916136,0.010948508465662598,0.10521593204913096,0.10473656537429034
physical_fixed,11,expanded_stats,1900,972800,1.908305689226836,0.8933957397239283,2.8017014289507642,0.011040374664589762,0.1047488911110209,0.10473656537429034
physical_fixed,11,expanded_stats,2000,1024000,2.0084308987716213,0.940436563687399,2.9488674624590203,0.011055166535079479,0.10467440815907379,0.10467440815907379
physical_fixed,11,expanded_stats,2100,1075200,2.10826021223329,0.9874707479029894,3.0957309601362795,0.01080736294388771,0.1049952924942018,0.10467440815907379
physical_fixed,11,expanded_stats,2200,1126400,2.2083119669696316,1.0345610734075308,3.2428730403771624,0.011076087327674032,0.1053890084151077,0.10467440815907379
physical_fixed,11,expanded_stats,2300,1177600,2.308434839360416,1.0815372988581657,3.3899721382185817,0.010908457227051258,0.10466885396554682,0.10466885396554682
physical_fixed,11,expanded_stats,2400,1228800,2.4086946203606203,1.1284873815020546,3.537182001862675,0.010912086451426148,0.10479661984781745,0.10466885396554682
physical_fixed,11,expanded_stats,2500,1280000,2.508969674119726,1.175472307833843,3.6844419819535688,0.010869246497750283,0.1049753430352264,0.10466885396554682
physical_fixed,11,expanded_stats,2600,1331200,2.6109327842714265,1.2232892306055874,3.834222014877014,0.010998158380389214,0.10478269057807407,0.10466885396554682
physical_fixed,11,expanded_stats,2700,1382400,2.711274130269885,1.2704896163195372,3.9817637465894222,0.0108223298471421,0.10538601358599976,0.10466885396554682
physical_fixed,11,expanded_stats,2800,1433600,2.811226935707964,1.3174564378568903,4.128683373564854,0.011105022802948951,0.10607539059861469,0.10466885396554682
physical_fixed,11,expanded_stats,2900,1484800,2.9114614261779934,1.364349069306627,4.27581049548462,0.010885127754881978,0.10575491566607016,0.10466885396554682
physical_fixed,11,expanded_stats,3000,1536000,3.0112575539387763,1.4112838129512966,4.422541366890073,0.010826884461566806,0.10476496908348293,0.10466885396554682
physical_fixed,22,raw,0,0,0.0,0.0,0.0,,0.6614904657195912,0.6614904657195912
physical_fixed,22,raw,100,51200,0.07971358578652143,0.047193994047120214,0.12690757983364165,0.06131060965359211,0.13995256564274833,0.13995256564274833
physical_fixed,22,raw,200,102400,0.15895418892614543,0.09411682386416942,0.25307101279031485,0.01843829868361354,0.1399321821033175,0.1399321821033175
physical_fixed,22,raw,300,153600,0.2381561336806044,0.14078836678527296,0.37894450046587735,0.018462307900190354,0.13983445517916784,0.13983445517916784
physical_fixed,22,raw,400,204800,0.3172051387373358,0.18749244033824652,0.5046975790755823,0.018459584899246692,0.13979142678945555,0.13979142678945555
physical_fixed,22,raw,500,256000,0.39651973615400493,0.23427380551584065,0.6307935416698456,0.018709430154412985,0.13970463930613905,0.13970463930613905
physical_fixed,22,raw,600,307200,0.47566624521277845,0.2810916363960132,0.7567578816087916,0.018609640728682278,0.13973850878934513,0.13970463930613905
physical_fixed,22,raw,700,358400,0.5546132393646985,0.32800990366376936,0.8826231430284679,0.018440591730177404,0.13949516523847197,0.13949516523847197
physical_fixed,22,raw,800,409600,0.6337122393306345,0.37494979007169604,1.0086620294023305,0.018514589983969928,0.13925392278439672,0.13925392278439672
physical_fixed,22,raw,900,460800,0.712882169871591,0.42187209997791797,1.134754269849509,0.018588673695921897,0.1391580054605419,0.1391580054605419
physical_fixed,22,raw,1000,512000,0.7918243202148005,0.4686038983054459,1.2604282185202464,0.018472570460289717,0.13899740620943576,0.13899740620943576
physical_fixed,22,raw,1100,563200,0.8710293167969212,0.5155891213798895,1.3866184381768107,0.01816820152103901,0.13892317737658424,0.13892317737658424
physical_fixed,22,raw,1200,614400,0.9503925861790776,0.5625260544475168,1.5129186406265944,0.01827996232546866,0.13883499236352018,0.13883499236352018
physical_fixed,22,raw,1300,665600,1.0295516372425482,0.60941799194552,1.6389696291880682,0.01823636468499899,0.13854709281815678,0.13854709281815678
physical_fixed,22,raw,1400,716800,1.1088158395141363,0.6563484577927738,1.7651642973069102,0.018044473081827165,0.1384570112053748,0.1384570112053748
physical_fixed,22,raw,1500,768000,1.187893806840293,0.7031581571791321,1.8910519640194252,0.018109388928860427,0.13815596652135098,0.13815596652135098
physical_fixed,22,raw,1600,819200,1.2675321568967775,0.7502026320435107,2.017734788940288,0.0182658882252872,0.13785377784956254,0.13785377784956254
physical_fixed,22,raw,1700,870400,1.3466716527473181,0.7972580924397334,2.1439297451870516,0.017890868801623584,0.1374771934874178,0.1374771934874178
physical_fixed,22,raw,1800,921600,1.4258157095173374,0.8443420316325501,2.2701577411498874,0.017852737866342068,0.13731269182565858,0.13731269182565858
physical_fixed,22,raw,1900,972800,1.505267433123663,0.8912836734671146,2.3965511065907776,0.017741510346531868,0.1366307603972368,0.1366307603972368
physical_fixed,22,raw,2000,1024000,1.5844546119915321,0.938137938035652,2.522592550027184,0.01776566251181066,0.1360059202179796,0.1360059202179796
physical_fixed,22,raw,2100,1075200,1.6637252510990947,0.9851178200915456,2.6488430711906403,0.017478066235780715,0.13490904119452687,0.13490904119452687
physical_fixed,22,raw,2200,1126400,1.7427281517302617,1.0318771916208789,2.7746053433511406,0.017068616738542916,0.1329472047858553,0.1329472047858553
physical_fixed,22,raw,2300,1177600,1.8218547644792125,1.0786576104583219,2.9005123749375343,0.01662395453080535,0.13046677038995602,0.13046677038995602
physical_fixed,22,raw,2400,1228800,1.9016809478634968,1.1258084950968623,3.027489442960359,0.0160398109536618,0.1262009612411318,0.1262009612411318
physical_fixed,22,raw,2500,1280000,1.9819677736377344,1.1736823442624882,3.1556501179002225,0.014883550694212317,0.12064886664003142,0.12064886664003142
physical_fixed,22,raw,2600,1331200,2.062129151658155,1.221090562758036,3.283219714416191,0.01344573431648314,0.11274540006633882,0.11274540006633882
physical_fixed,22,raw,2700,1382400,2.1429265359183773,1.2690090604592115,3.411935596377589,0.013146668756380677,0.11300989830826827,0.11274540006633882
physical_fixed,22,raw,2800,1433600,2.2218233189778402,1.315750436624512,3.5375737556023523,0.012018314190208912,0.10840517421309719,0.10840517421309719
physical_fixed,22,raw,2900,1484800,2.3009400769369677,1.362521868897602,3.6634619458345696,0.0115489471424371,0.11213984874230057,0.10840517421309719
physical_fixed,22,raw,3000,1536000,2.3803280879510567,1.409313379554078,3.7896414675051346,0.011496933875605464,0.10856147633759763,0.10840517421309719
physical_fixed,22,mean_var,0,0,0.0,0.0,0.0,,0.6628123148617704,0.6628123148617704
physical_fixed,22,mean_var,100,51200,0.0847139738034457,0.04695790319237858,0.13167187699582428,0.053464971324428914,0.13389081673866113,0.13389081673866113
physical_fixed,22,mean_var,200,102400,0.16936389391776174,0.09392341773491353,0.26328731165267527,0.016559800803661345,0.13071253641014474,0.13071253641014474
physical_fixed,22,mean_var,300,153600,0.2535775798605755,0.1409279927611351,0.3945055726217106,0.015386931812390685,0.12331559559636775,0.12331559559636775
physical_fixed,22,mean_var,400,204800,0.3381791606079787,0.18785630736965686,0.5260354679776356,0.01273369364440441,0.1076099749523602,0.1076099749523602
physical_fixed,22,mean_var,500,256000,0.42262698896229267,0.2346852832706645,0.6573122722329572,0.011136678690090775,0.10624097240089832,0.10624097240089832
physical_fixed,22,mean_var,600,307200,0.5073574755806476,0.28165382996667176,0.7890113055473194,0.011066520530730485,0.10563380991053396,0.10563380991053396
physical_fixed,22,mean_var,700,358400,0.5914378102170303,0.3284551101969555,0.9198929204139858,0.010764203304424881,0.1055107900304619,0.1055107900304619
physical_fixed,22,mean_var,800,409600,0.6760182803263888,0.3752313853474334,1.0512496656738222,0.011028990652412175,0.10559556684329054,0.1055107900304619
physical_fixed,22,mean_var,900,460800,0.7604994038119912,0.42203453730326146,1.1825339411152527,0.010924324430525302,0.10543150000433543,0.10543150000433543
physical_fixed,22,mean_var,1000,512000,0.8447713893838227,0.4689319123281166,1.3137033017119393,0.011017860127612949,0.10535573856367553,0.10535573856367553
physical_fixed,22,mean_var,1100,563200,0.9290504086529836,0.5158902604598552,1.4449406691128388,0.01094403188675642,0.10549139511283213,0.10535573856367553
